year,road,seasonalimpact,demand,wttons,labour,toll,distance,fuelcost,miscellaneous,tariff
2013,nh,yes,high,10,750,8200,1460,23534,9000,17950
2013,nh,yes,high,14.8,1110,8600,1360,22184,10000,19710
2013,nh,yes,high,12,900,8300,1310,21476,9400,18600
2013,nh,yes,high,10,750,2400,650,10473,6000,9150
2013,nh,yes,high,8,600,3500,560,9417,5600,9700
2013,nh,yes,high,20,1500,8900,1500,24800,11000,21400
2013,nh,yes,normal,20,1400,375,160,2570,7500,9275
2013,nh,yes,high,18,1350,1100,220,3501,7600,10050
2013,nh,no,less,6,390,2000,577,9600,4200,6590
2013,nh,yes,normal,10,700,2400,560,9295,5500,8600
2013,nh,yes,high,8,600,2000,420,6944,5600,8200
2013,nh,yes,high,21,1575,6120,1100,17880,11200,18895
2013,nh,yes,high,18,1350,8100,1440,22990,10600,20050
2013,sh,yes,high,16,1200,250,750,12490,7200,8650
2013,nh,yes,high,20,1500,7000,625,9899,8000,16500
2013,nh,yes,high,15,1125,19000,2731,44591,12000,32125
2013,sh,yes,normal,13,910,395,314,5224,6100,7405
2013,nh,yes,normal,14,980,8400,1243.1,20444,8800,18180
2013,nh,yes,high,14,1050,8400,1232,20386,9800,19250
2013,sh,yes,high,8,600,200,350,5983,5600,6400
2013,nh,yes,normal,7,490,4500,697.8,11502,4900,9890
2013,nh,yes,high,7,525,4500,699,11522,5400,10425
2013,sh,yes,high,8,600,200,350,5982,5600,6400
2013,sh,yes,normal,8,560,200,350,5982,5100,5860
2013,nh,yes,high,19,1425,5000,850,13768,7800,14225
2013,nh,yes,high,17,1275,5800,1073,17617,10400,17475
2013,nh,yes,high,14.5,1088,2900,605,10060,6900,10888
2013,nh,yes,high,20,1500,3500,620,10311,8000,13000
2013,nh,yes,high,13,975,9000,1674,26802,9600,19575
2013,nh,yes,high,11,825,2900,329,5326,6200,9925
2013,nh,yes,high,9,675,1900,544,8949,5800,8375
2013,sh,yes,high,17,1275,580,1007,16767,11400,13255
2013,sh,yes,high,19,1425,580,1007,16767,11800,13805
2013,nh,yes,normal,13,910,700,230,3620,6100,7710
2013,sh,yes,normal,9,630,0,240,4027,5300,5930
2013,nh,yes,normal,15,1050,3600,587,9636,6500,11150
2013,nh,yes,normal,16.4,1148,4625,802,13171,6780,12553
2013,nh,yes,normal,15.8,1106,5150,969,15960,6660,12916
2013,nh,yes,normal,7,490,900,398,5870,4900,6290
2013,nh,yes,normal,16,1120,8700,1191,19604,9200,19020
2013,nh,yes,normal,18,1260,7000,1000,16840,9600,17860
2013,nh,yes,normal,11,770,2900,329,5326,5700,9370
2013,nh,yes,normal,12,840,1585,425,7082,5900,8325
2013,nh,yes,normal,17,1190,1300,496,7654,6900,9390
2013,nh,yes,normal,14,980,8700,1191,19604,8800,18480
2013,nh,yes,normal,8,560,980,212,3501,5100,6640
2013,nh,yes,normal,11.4,798,1980,403,6574,5780,8558
2013,sh,yes,normal,10,700,0,93,1556,5500,6200
2013,nh,yes,normal,12,840,2600,456,7503,5900,9340
2013,nh,yes,normal,10.4,728,1100,280,4613,5580,7408
2013,nh,yes,normal,7.8,546,855,246,4086,5060,6461
2013,nh,yes,normal,9.6,672,1290,264,4400,5420,7382
2013,nh,yes,normal,10.8,756,1624,234,3719,5660,8040
2013,nh,yes,normal,12.4,868,930,176,2927,5980,7778
2013,nh,yes,normal,11.8,826,1545,240,3934,5860,8231
2013,nh,no,normal,11.8,826,1545,240,3934,5860,8231
2013,sh,no,normal,13.6,952,160,230,3839,6220,7332
2013,nh,no,normal,8,560,980,212,3501,5100,6640
2013,nh,no,normal,16,1120,8100,1094,17964,9200,18420
2013,nh,no,normal,18,1260,6300,1024,17200,9600,17160
2013,sh,no,less,8,520,240,437,7712,4600,5360
2013,nh,no,less,9,585,4122,798,13347,4800,9507
2013,sh,no,less,10,520,240,437,7712,4600,5360
2013,nh,no,less,7.4,481,2250,614,10841,4480,7211
2013,sh,no,less,6,390,0,77,1362,4200,4590
2013,nh,no,less,9,585,460,240,4214,4800,5845
2013,nh,no,less,9.8,637,2770,590,10376,4960,8367
2013,nh,no,less,6.8,442,3400,758,13341,4360,8202
2013,sh,no,less,6,390,0,152,2684,4200,4590
2013,nh,yes,less,6,390,0,156,2742,4200,4590
2013,nh,yes,less,8,520,900,387,6589,4600,6020
2013,nh,yes,less,10,650,1100,182,3094,5000,6750
2013,sh,yes,less,7.8,507,0,81,1358,4560,5067
2013,nh,no,less,8.8,572,3840,576,10113,4760,9172
2013,nh,no,less,9.2,598,4122,798,13347,4840,9560
2013,nh,no,less,10,520,3840,576,10113,5000,9360
2013,nh,no,less,12.4,806,2250,614,10841,5480,8536
2013,nh,no,less,12.4,806,3850,784,13842,5480,10136
2013,nh,no,less,13.2,858,3630,506,8960,5640,10128
2013,nh,no,less,14.8,962,6470,1045,18464,8460,15892
2013,nh,no,less,16.2,1053,4400,1063,18768,8740,14193
2013,sh,no,less,5.6,364,0,148,2627,4120,4484
2013,,,high,17,1275,580,1007,16767,11400,13255
2013,,,high,19,1425,580,1007,16767,11800,13805
2013,,yes,normal,13,910,700,230,3620,6100,7710
2013,,yes,normal,9,630,0,240,4027,5300,5930
2013,,yes,normal,15,1050,3600,587,9636,6500,11150
2013,,yes,normal,16.4,1148,4625,802,13171,6780,12553
2013,,yes,normal,15.8,1106,5150,969,15960,6660,12916
2013,,yes,normal,7,490,900,398,5870,4900,6290
2013,,yes,normal,16,1120,8700,1191,19604,9200,19020
2013,,yes,normal,18,1260,7000,1000,16840,9600,17860
2013,,yes,normal,11,770,2900,329,5326,5700,9370
2013,nh,,,12,840,1585,425,7082,5900,8325
2013,nh,,,17,1190,1300,496,7654,6900,9390
2013,,,,14,980,8700,1191,19604,8800,18480
2013,,,,8,560,980,212,3501,5100,6640
2013,,,,11.4,798,1980,403,6574,5780,8558
2013,,,normal,10,700,0,93,1556,5500,6200
2013,nh,yes,normal,12,840,2600,456,7503,5900,9340
2013,,yes,,10.4,728,1100,280,4613,5580,7408
2013,nh,yes,normal,7.8,546,855,246,4086,5060,6461
2013,nh,yes,normal,9.6,672,1290,264,4400,5420,7382
2013,,yes,,10.8,756,1624,234,3719,5660,8040
2013,nh,,,,868,930,176,2927,5980,7778
2013,,,less,6,390,0,77,1362,4200,4590
2013,,,less,9,585,460,240,4214,4800,5845
2013,,,less,9.8,637,2770,590,10376,4960,8367
2013,,,less,6.8,442,3400,758,13341,4360,8202
2013,sh,,less,6,390,0,152,2684,4200,4590
2013,nh,,less,8.8,572,3840,576,10113,4760,9172
2013,,,less,9.2,598,4122,798,13347,4840,9560
2013,nh,,less,10,520,3840,576,10113,5000,9360
2013,nh,,,12.4,806,2250,614,10841,5480,8536
2013,nh,,,12.4,806,3850,784,13842,5480,10136
2013,nh,,,13.2,858,3630,506,8960,5640,10128
2013,nh,,less,14.8,962,6470,1045,18464,8460,15892
2013,,,less,16.2,1053,4400,1063,18768,8740,14193
2014,nh,yes,high,15,1350,2250,725,13850,8175,11775
2014,nh,yes,high,14,1260,6500,1110,20937,11150,18910
2014,nh,yes,high,17,1530,2250,275,5231,8625,12405
2014,nh,yes,high,18,1620,7320,598,11344,8850,17790
2014,nh,yes,high,12,1080,8400,1269.2,22771,10700,20180
2014,sh,yes,normal,7.6,608,0,148.4,2835,6510,7118
2014,sh,yes,normal,9.8,784,0,80,1527,7005,7789
2014,nh,yes,high,10.6,954,1200,182.1,3476,7185,9339
2014,nh,yes,high,13,1170,5620,916,17480,7725,14515
2014,nh,yes,high,18,1620,8400,1468,27789,12050,22070
2014,nh,yes,high,17.6,1584,5550,1129,21546,11960,19094
2014,nh,yes,high,16.4,1476,8220,1443.1,26953,11690,21386
2014,nh,yes,high,9.8,882,1175,571,10888,7005,9062
2014,nh,yes,high,10.6,954,2990,744,14008,7185,11129
2014,nh,yes,high,20,1800,3030,688,12916,9300,14130
2014,nh,yes,high,11,990,1150,460,8738,7275,9415
2014,nh,yes,high,7,630,650,175,3927,6375,7655
2014,nh,yes,high,12,1080,3400,586,10928,7500,11980
2014,sh,yes,high,9.6,864,0,126,2402,6960,7824
2014,sh,yes,high,8.8,792,260,158,3011,6780,7832
2014,sh,yes,high,4,360,0,83,1578,5700,6060
2014,nh,yes,normal,10,800,500,136,2595,6450,7750
2014,nh,yes,normal,14.96,1197,2680,365,6942,7566,11443
2014,nh,yes,normal,16.2,1296,3100,375,7048,7845,12241
2014,nh,yes,normal,11.6,928,3300,509,9479,6810,11038
2014,nh,yes,normal,14,1120,2925,464,8546,7350,11395
2014,nh,yes,normal,12,960,320,270,5165,6900,8180
2014,sh,yes,normal,5,400,0,71,1354,5325,5725
2014,sh,yes,normal,5,400,0,77,1453,5325,5725
2014,sh,yes,normal,5,400,0,82,1564,5325,5725
2014,nh,yes,normal,9.96,3000,776,14647,6441,,3776
2014,nh,yes,normal,9,720,3600,632,12042,6225,10545
2014,nh,yes,normal,10,800,7600,1213,22919,9050,17450
2014,nh,yes,normal,13,1040,6200,1001,19772,9725,16965
2014,nh,yes,normal,12,960,2340,542.3,10276,7500,10800
2014,nh,yes,normal,6.6,528,475,136,2591,5685,6688
2014,nh,yes,normal,7.8,624,450,106,2010,5955,7029
2014,sh,yes,normal,8.8,704,0,90,1704,6180,6884
2014,sh,yes,normal,6.4,512,0,118.4,2260,5640,6152
2014,nh,yes,less,13.4,938,1290,401,7624,6615,8843
2014,nh,yes,less,14.2,994,1250,631,12033,6795,9039
2014,nh,yes,less,15,1050,3020,803,15154,6975,11045
2014,sh,yes,less,11,770,0,93,1771,6075,6845
2014,nh,yes,less,7.8,546,1560,275,5212,5355,7461
2014,nh,yes,less,16,1120,6000,1194,22772,9600,16720
2014,nh,yes,less,15,1050,5600,1154,22500,9375,16025
2014,nh,yes,less,12,840,4200,576,10782,6300,11340
2014,nh,no,high,16,1440,1381,395,7672,8400,11221
2014,nh,no,high,16.6,1494,6400,1175,22979,11735,19629
2014,nh,no,high,11,990,9300,1500,29073,10475,20765
2014,nh,no,high,10.6,954,4600,761,14773,7185,12739
2014,nh,no,high,14,1260,1005,357,6963,7950,10215
2014,nh,no,high,10.2,918,1720,859,16854,7095,9733
2014,nh,no,high,6,540,540,136,2782,6150,7230
2014,nh,no,high,9.4,846,1295,213,4180,6915,9056
2014,nh,no,high,13.2,1188,620,253,5005,7770,9578
2014,nh,no,high,10,900,1381,395,7672,7050,9331
2014,nh,no,high,15.6,1404,6400,1030,19940,11510,19314
2014,nh,no,high,12,1080,1720,859,16854,7500,10300
2014,nh,no,high,16,1440,1381,395,7672,8400,11221
2014,sh,no,high,6.6,594,0,100,2054,6285,6879
2014,sh,no,high,11,990,1720,859,16854,7275,9985
2014,nh,no,normal,16,1280,1381,395,7672,7800,10461
2014,nh,no,normal,11.6,928,6400,1175,22979,11135,18463
2014,sh,no,normal,11,880,0,179,3526,6675,7555
2014,sh,no,normal,9,720,90,247,4884,6225,7035
2014,sh,no,normal,4,320,90,124,2445,5100,5510
2014,nh,no,normal,10.2,816,1720,867,17854,6495,9031
2014,nh,no,normal,12,960,540,136,2782,6900,8400
2014,nh,no,normal,8.4,672,4000,648,12725,6090,10762
2014,nh,no,normal,5.2,416,680,207,4077,5370,6466
2014,nh,no,normal,10,800,1381,395,7672,6450,8631
2014,nh,no,normal,17.8,1424,4000,577,11291,8205,13629
2014,nh,no,less,9.4,658,395,156,3078,5715,6768
2014,sh,no,less,6.6,462,0,48,957,5085,5547
2014,nh,no,less,10.2,714,760,343,6765,5895,7369
2014,nh,no,less,11.8,826,1258,604,11929,6255,8339
2014,sh,no,less,9.2,644,0,521,10305,5670,6314
2014,sh,no,less,8.4,588,125,380,7510,5490,6203
2014,nh,no,less,14,980,5100,906,17647,6750,12830
2014,nh,no,less,14,980,2400,1225,23923,9150,12530
2014,nh,no,less,16,1120,7500,1400,27083,9600,18220
2014,sh,no,less,5.2,364,0,86,1687,4770,5134
2014,sh,no,less,5.06,307,760,343,6765,4738,5805
2014,nh,no,less,19,1330,11600,1726,33453,10275,23205
2014,nh,no,less,10,700,240,195,3821,5850,6790
2014,nh,,high,9.8,882,1175,571,10888,7005,9062
2014,nh,,high,10.6,954,2990,744,14008,7185,11129
2014,nh,,high,20,1800,3030,688,12916,9300,14130
2014,nh,,high,11,990,1150,460,8738,7275,9415
2014,,,high,7,630,650,175,3927,6375,7655
2014,,,high,12,1080,3400,586,10928,7500,11980
2014,,,high,9.6,864,0,126,2402,6960,7824
2014,,,,8.8,792,260,158,3011,6780,7832
2014,,,,4,360,0,83,1578,5700,6060
2014,,,,10,800,500,136,2595,6450,7750
2014,,,normal,14.96,1197,2680,365,6942,7566,11443
2014,,,normal,16.2,1296,3100,375,7048,7845,12241
2014,,,normal,12,960,2340,542.3,10276,7500,10800
2014,,,normal,6.6,528,475,136,2591,5685,6688
2014,,yes,,7.8,624,450,106,2010,5955,7029
2014,,yes,,8.8,704,0,90,1704,6180,6884
2014,,yes,,6.4,512,0,118.4,2260,5640,6152
2014,,yes,,13.4,938,1290,401,7624,6615,8843
2014,,yes,,14.2,994,1250,631,12033,6795,9039
2014,,yes,,15,1050,3020,803,15154,6975,11045
2014,,yes,,11,770,0,93,1771,6075,6845
2014,,yes,,7.8,546,1560,275,5212,5355,7461
2014,,,high,10.6,954,4600,761,14773,7185,12739
2014,,,high,14,1260,1005,357,6963,7950,10215
2014,,,high,10.2,918,1720,859,16854,7095,9733
2014,,,high,6,540,540,136,2782,6150,7230
2014,,no,,9.4,846,1295,213,4180,6915,9056
2014,,no,,8.4,672,4000,648,12725,6090,10762
2014,,no,,5.2,416,680,207,4077,5370,6466
2014,,,normal,10,800,1381,395,7672,6450,8631
2014,,,normal,17.8,1424,4000,577,11291,8205,13629
2014,,,less,9.4,658,395,156,3078,5715,6768
2014,,,less,6.6,462,0,48,957,5085,5547
2014,nh,,,10.2,714,760,343,6765,5895,7369
2014,nh,,,11.8,826,1258,604,11929,6255,8339
2015,nh,yes,high,20,2200,9760,1354,26856,13800,25760
2015,nh,yes,high,15,1650,3120,777,15414,9350,14120
2015,nh,yes,high,14,1540,3325,584,11479,9100,13965
2015,nh,yes,high,12,1320,3120,777,15414,8600,13040
2015,nh,yes,high,10,1100,840,342,6876,8100,10040
2015,nh,yes,high,13,1430,1507,659,13238,8850,11787
2015,nh,yes,high,11,1210,1360,374,7479,8350,10920
2015,nh,yes,high,12,1320,1360,374,7479,8600,11280
2015,nh,yes,high,10.8,1188,2603,389,7801,8300,12091
2015,nh,yes,high,9.8,1078,1197,171,3434,8050,10325
2015,nh,yes,high,11,1210,1360,374,7479,8350,10920
2015,sh,yes,high,6,660,0,77,1546,7100,7760
2015,sh,yes,high,5,550,0,93,1866,6850,7400
2015,sh,yes,high,6,660,0,92,1846,7100,7760
2015,sh,yes,high,4,440,0,79,1592,6600,7040
2015,nh,yes,normal,10,900,1360,301,6002,7500,9760
2015,nh,yes,normal,11.2,1008,1895,375,7541,7800,10703
2015,nh,yes,normal,18,1620,3095,729,14492,9500,14215
2015,nh,yes,normal,13.6,1224,3120,747,14778,8400,12744
2015,sh,yes,normal,9.8,882,0,77,1546,7450,8332
2015,nh,yes,normal,12,1080,2160,558,11094,8000,11240
2015,nh,yes,normal,10.8,1188,2603,389,7801,8300,12091
2015,nh,yes,normal,8.8,792,1740,274,5455,7200,9732
2015,nh,yes,normal,10.4,936,900,269,5336,7600,9436
2015,sh,yes,normal,6,540,0,77,1546,6500,7040
2015,sh,yes,normal,5,450,0,93,1866,6250,6700
2015,sh,yes,low,6,510,0,92,1846,5500,6010
2015,sh,yes,low,4,340,0,79,1592,5000,5340
2015,nh,yes,low,10,850,1360,301,6002,6500,8710
2015,nh,yes,low,11.2,952,1895,375,7541,6800,9647
2015,nh,yes,low,18,1530,3095,729,14492,8500,13125
2015,nh,no,high,14,1540,2695,502,10083,9100,13335
2015,nh,no,high,12,1320,4085,828,16616,8600,14005
2015,nh,no,high,12.4,1364,8420,1277,26649,11900,21684
2015,nh,no,high,10,1100,8400,1277,26616,8100,17600
2015,nh,no,high,13.4,1139,6095,1296,26719,12150,19384
2015,nh,no,normal,8.8,968,5355,767,15676,6200,12523
2015,nh,no,normal,9.8,1078,5355,767,15676,8050,14483
2015,nh,no,normal,10,1100,5355,767,15676,8100,14555
2015,nh,no,low,14,1190,2695,502,10083,7500,11385
2015,nh,no,low,12,1020,4085,828,16616,7000,12105
2015,nh,no,low,12.4,1054,8420,1277,26649,9700,19174
2015,yes,high,6,660,0,77,1546,7100,,77
2015,,yes,high,5,550,0,93,1866,6850,7400
2015,sh,yes,,6,660,0,92,1846,7100,7760
2015,sh,yes,,4,440,0,79,1592,6600,7040
2015,,yes,normal,10,900,1360,,6002,7500,9760
2015,,yes,normal,11.2,1008,1895,,7541,7800,10703
2015,nh,yes,,18,1620,3095,,14492,9500,14215
2015,nh,yes,,13.6,1224,3120,,14778,8400,12744
